Name1,W/L,event,Method,Rounds,KD1,KD2,SIG_STR1,SIG_STR2,SIG_STR3,SIG_STR4,TD1,TD2,TD3,TD4,SUB_ATT1,SUB_ATT2,REV1,REV2,CTRL1,CTRL2
Jamahal Hill,L,UFC Fight Night: Santos vs. Hill,KO/TKO,"
        
        4",0,0,53 of 94,89 of 152,56%,58%,56 of 98,130 of 194,6 of 20,---,0,89 of 152,5:54,1:26,Thiago Santos,Jamahal Hill
Song Yadong,L,UFC 277: Pena vs. Nunes 2,TKO - Doctor's Stoppage,"
        
        4",0,0,94 of 222,54 of 145,42%,37%,130 of 259,130 of 224,1 of 14,100%,0,54 of 145,3:47,1:39,Cory Sandhagen,Song Yadong
Tony Ferguson,L,UFC 277: Pena vs. Nunes 2,Submission,"
        
        4",0,0,101 of 217,80 of 172,46%,46%,101 of 217,80 of 172,0 of 0,33%,1,80 of 172,0:00,0:08,Nate Diaz,Tony Ferguson
Tai Tuivasa,L,UFC 277: Pena vs. Nunes 2,KO/TKO,"
        
        3",1,1,110 of 168,29 of 89,65%,32%,110 of 168,29 of 89,0 of 1,---,0,29 of 89,0:01,0:04,Ciryl Gane,Tai Tuivasa
Leon Edwards,L,UFC 277: Pena vs. Nunes 2,KO/TKO,"
        
        5",0,1,83 of 135,55 of 75,61%,73%,189 of 247,64 of 85,5 of 12,20%,0,55 of 75,10:36,2:55,Kamaru Usman,Leon Edwards
Dominick Cruz,L,UFC 277: Pena vs. Nunes 2,KO/TKO,"
        
        4",3,0,61 of 156,92 of 249,39%,36%,63 of 160,100 of 259,0 of 0,28%,0,92 of 249,0:10,1:05,Marlon Vera,Dominick Cruz
Jamahal Hill,L,UFC 277: Pena vs. Nunes 2,KO/TKO,"
        
        4",0,0,53 of 94,89 of 152,56%,58%,56 of 98,130 of 194,6 of 20,---,0,89 of 152,5:54,1:26,Thiago Santos,Jamahal Hill
Amanda Nunes,L,UFC 277: Pena vs. Nunes 2,Decision - Unanimous,"
        
        5",0,3,60 of 154,85 of 152,38%,55%,130 of 239,126 of 201,0 of 0,75%,1,85 of 152,0:00,11:49,Julianna Pena,Amanda Nunes
Song Yadong,L,UFC Fight Night: Blaydes vs. Aspinall,TKO - Doctor's Stoppage,"
        
        4",0,0,94 of 222,54 of 145,42%,37%,130 of 259,130 of 224,1 of 14,100%,0,54 of 145,3:47,1:39,Cory Sandhagen,Song Yadong
Tony Ferguson,L,UFC Fight Night: Blaydes vs. Aspinall,Submission,"
        
        4",0,0,101 of 217,80 of 172,46%,46%,101 of 217,80 of 172,0 of 0,33%,1,80 of 172,0:00,0:08,Nate Diaz,Tony Ferguson
Tai Tuivasa,L,UFC Fight Night: Blaydes vs. Aspinall,KO/TKO,"
        
        3",1,1,110 of 168,29 of 89,65%,32%,110 of 168,29 of 89,0 of 1,---,0,29 of 89,0:01,0:04,Ciryl Gane,Tai Tuivasa
Leon Edwards,L,UFC Fight Night: Blaydes vs. Aspinall,KO/TKO,"
        
        5",0,1,83 of 135,55 of 75,61%,73%,189 of 247,64 of 85,5 of 12,20%,0,55 of 75,10:36,2:55,Kamaru Usman,Leon Edwards
Dominick Cruz,L,UFC Fight Night: Blaydes vs. Aspinall,KO/TKO,"
        
        4",3,0,61 of 156,92 of 249,39%,36%,63 of 160,100 of 259,0 of 0,28%,0,92 of 249,0:10,1:05,Marlon Vera,Dominick Cruz
Jamahal Hill,L,UFC Fight Night: Blaydes vs. Aspinall,KO/TKO,"
        
        4",0,0,53 of 94,89 of 152,56%,58%,56 of 98,130 of 194,6 of 20,---,0,89 of 152,5:54,1:26,Thiago Santos,Jamahal Hill
Amanda Nunes,L,UFC Fight Night: Blaydes vs. Aspinall,Decision - Unanimous,"
        
        5",0,3,60 of 154,85 of 152,38%,55%,130 of 239,126 of 201,0 of 0,75%,1,85 of 152,0:00,11:49,Julianna Pena,Amanda Nunes
Tom Aspinall,L,UFC Fight Night: Blaydes vs. Aspinall,KO/TKO,"
        
        1",0,0,4 of 10,3 of 5,40%,60%,4 of 10,3 of 5,0 of 0,---,0,3 of 5,0:01,0:00,Curtis Blaydes,Tom Aspinall
Song Yadong,L,UFC Fight Night: Ortega vs. Rodriguez,TKO - Doctor's Stoppage,"
        
        4",0,0,94 of 222,54 of 145,42%,37%,130 of 259,130 of 224,1 of 14,100%,0,54 of 145,3:47,1:39,Cory Sandhagen,Song Yadong
Tony Ferguson,L,UFC Fight Night: Ortega vs. Rodriguez,Submission,"
        
        4",0,0,101 of 217,80 of 172,46%,46%,101 of 217,80 of 172,0 of 0,33%,1,80 of 172,0:00,0:08,Nate Diaz,Tony Ferguson
Tai Tuivasa,L,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,"
        
        3",1,1,110 of 168,29 of 89,65%,32%,110 of 168,29 of 89,0 of 1,---,0,29 of 89,0:01,0:04,Ciryl Gane,Tai Tuivasa
Leon Edwards,L,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,"
        
        5",0,1,83 of 135,55 of 75,61%,73%,189 of 247,64 of 85,5 of 12,20%,0,55 of 75,10:36,2:55,Kamaru Usman,Leon Edwards
Dominick Cruz,L,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,"
        
        4",3,0,61 of 156,92 of 249,39%,36%,63 of 160,100 of 259,0 of 0,28%,0,92 of 249,0:10,1:05,Marlon Vera,Dominick Cruz
Jamahal Hill,L,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,"
        
        4",0,0,53 of 94,89 of 152,56%,58%,56 of 98,130 of 194,6 of 20,---,0,89 of 152,5:54,1:26,Thiago Santos,Jamahal Hill
Amanda Nunes,L,UFC Fight Night: Ortega vs. Rodriguez,Decision - Unanimous,"
        
        5",0,3,60 of 154,85 of 152,38%,55%,130 of 239,126 of 201,0 of 0,75%,1,85 of 152,0:00,11:49,Julianna Pena,Amanda Nunes
Tom Aspinall,L,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,"
        
        1",0,0,4 of 10,3 of 5,40%,60%,4 of 10,3 of 5,0 of 0,---,0,3 of 5,0:01,0:00,Curtis Blaydes,Tom Aspinall
Yair Rodriguez,L,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,"
        
        1",0,0,22 of 35,23 of 46,62%,50%,26 of 39,48 of 76,1 of 5,---,0,23 of 46,2:24,0:00,Brian Ortega,Yair Rodriguez
Song Yadong,L,UFC Fight Night: Dos Anjos vs. Fiziev,TKO - Doctor's Stoppage,"
        
        4",0,0,94 of 222,54 of 145,42%,37%,130 of 259,130 of 224,1 of 14,100%,0,54 of 145,3:47,1:39,Cory Sandhagen,Song Yadong
Tony Ferguson,L,UFC Fight Night: Dos Anjos vs. Fiziev,Submission,"
        
        4",0,0,101 of 217,80 of 172,46%,46%,101 of 217,80 of 172,0 of 0,33%,1,80 of 172,0:00,0:08,Nate Diaz,Tony Ferguson
Tai Tuivasa,L,UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,"
        
        3",1,1,110 of 168,29 of 89,65%,32%,110 of 168,29 of 89,0 of 1,---,0,29 of 89,0:01,0:04,Ciryl Gane,Tai Tuivasa
Leon Edwards,L,UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,"
        
        5",0,1,83 of 135,55 of 75,61%,73%,189 of 247,64 of 85,5 of 12,20%,0,55 of 75,10:36,2:55,Kamaru Usman,Leon Edwards
Dominick Cruz,L,UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,"
        
        4",3,0,61 of 156,92 of 249,39%,36%,63 of 160,100 of 259,0 of 0,28%,0,92 of 249,0:10,1:05,Marlon Vera,Dominick Cruz
Jamahal Hill,L,UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,"
        
        4",0,0,53 of 94,89 of 152,56%,58%,56 of 98,130 of 194,6 of 20,---,0,89 of 152,5:54,1:26,Thiago Santos,Jamahal Hill
Amanda Nunes,L,UFC Fight Night: Dos Anjos vs. Fiziev,Decision - Unanimous,"
        
        5",0,3,60 of 154,85 of 152,38%,55%,130 of 239,126 of 201,0 of 0,75%,1,85 of 152,0:00,11:49,Julianna Pena,Amanda Nunes
Tom Aspinall,L,UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,"
        
        1",0,0,4 of 10,3 of 5,40%,60%,4 of 10,3 of 5,0 of 0,---,0,3 of 5,0:01,0:00,Curtis Blaydes,Tom Aspinall
Yair Rodriguez,L,UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,"
        
        1",0,0,22 of 35,23 of 46,62%,50%,26 of 39,48 of 76,1 of 5,---,0,23 of 46,2:24,0:00,Brian Ortega,Yair Rodriguez
Rafael Fiziev,L,UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,"
        
        5",0,1,54 of 110,64 of 159,49%,40%,90 of 162,92 of 192,2 of 16,0%,0,64 of 159,6:13,2:59,Rafael Dos Anjos,Rafael Fiziev
Song Yadong,L,UFC 276: Adesanya vs. Cannonier,TKO - Doctor's Stoppage,"
        
        4",0,0,94 of 222,54 of 145,42%,37%,130 of 259,130 of 224,1 of 14,100%,0,54 of 145,3:47,1:39,Cory Sandhagen,Song Yadong
Tony Ferguson,L,UFC 276: Adesanya vs. Cannonier,Submission,"
        
        4",0,0,101 of 217,80 of 172,46%,46%,101 of 217,80 of 172,0 of 0,33%,1,80 of 172,0:00,0:08,Nate Diaz,Tony Ferguson
Tai Tuivasa,L,UFC 276: Adesanya vs. Cannonier,KO/TKO,"
        
        3",1,1,110 of 168,29 of 89,65%,32%,110 of 168,29 of 89,0 of 1,---,0,29 of 89,0:01,0:04,Ciryl Gane,Tai Tuivasa
Leon Edwards,L,UFC 276: Adesanya vs. Cannonier,KO/TKO,"
        
        5",0,1,83 of 135,55 of 75,61%,73%,189 of 247,64 of 85,5 of 12,20%,0,55 of 75,10:36,2:55,Kamaru Usman,Leon Edwards
Dominick Cruz,L,UFC 276: Adesanya vs. Cannonier,KO/TKO,"
        
        4",3,0,61 of 156,92 of 249,39%,36%,63 of 160,100 of 259,0 of 0,28%,0,92 of 249,0:10,1:05,Marlon Vera,Dominick Cruz
Jamahal Hill,L,UFC 276: Adesanya vs. Cannonier,KO/TKO,"
        
        4",0,0,53 of 94,89 of 152,56%,58%,56 of 98,130 of 194,6 of 20,---,0,89 of 152,5:54,1:26,Thiago Santos,Jamahal Hill
Amanda Nunes,L,UFC 276: Adesanya vs. Cannonier,Decision - Unanimous,"
        
        5",0,3,60 of 154,85 of 152,38%,55%,130 of 239,126 of 201,0 of 0,75%,1,85 of 152,0:00,11:49,Julianna Pena,Amanda Nunes
Tom Aspinall,L,UFC 276: Adesanya vs. Cannonier,KO/TKO,"
        
        1",0,0,4 of 10,3 of 5,40%,60%,4 of 10,3 of 5,0 of 0,---,0,3 of 5,0:01,0:00,Curtis Blaydes,Tom Aspinall
Yair Rodriguez,L,UFC 276: Adesanya vs. Cannonier,KO/TKO,"
        
        1",0,0,22 of 35,23 of 46,62%,50%,26 of 39,48 of 76,1 of 5,---,0,23 of 46,2:24,0:00,Brian Ortega,Yair Rodriguez
Rafael Fiziev,L,UFC 276: Adesanya vs. Cannonier,KO/TKO,"
        
        5",0,1,54 of 110,64 of 159,49%,40%,90 of 162,92 of 192,2 of 16,0%,0,64 of 159,6:13,2:59,Rafael Dos Anjos,Rafael Fiziev
Jared Cannonier,L,UFC 276: Adesanya vs. Cannonier,Decision - Unanimous,"
        
        5",0,0,116 of 230,90 of 157,50%,57%,163 of 277,141 of 217,0 of 0,0%,0,90 of 157,0:00,4:14,Israel Adesanya,Jared Cannonier
Song Yadong,L,UFC Fight Night: Tsarukyan vs. Gamrot,TKO - Doctor's Stoppage,"
        
        4",0,0,94 of 222,54 of 145,42%,37%,130 of 259,130 of 224,1 of 14,100%,0,54 of 145,3:47,1:39,Cory Sandhagen,Song Yadong
Tony Ferguson,L,UFC Fight Night: Tsarukyan vs. Gamrot,Submission,"
        
        4",0,0,101 of 217,80 of 172,46%,46%,101 of 217,80 of 172,0 of 0,33%,1,80 of 172,0:00,0:08,Nate Diaz,Tony Ferguson
Tai Tuivasa,L,UFC Fight Night: Tsarukyan vs. Gamrot,KO/TKO,"
        
        3",1,1,110 of 168,29 of 89,65%,32%,110 of 168,29 of 89,0 of 1,---,0,29 of 89,0:01,0:04,Ciryl Gane,Tai Tuivasa
Leon Edwards,L,UFC Fight Night: Tsarukyan vs. Gamrot,KO/TKO,"
        
        5",0,1,83 of 135,55 of 75,61%,73%,189 of 247,64 of 85,5 of 12,20%,0,55 of 75,10:36,2:55,Kamaru Usman,Leon Edwards
Dominick Cruz,L,UFC Fight Night: Tsarukyan vs. Gamrot,KO/TKO,"
        
        4",3,0,61 of 156,92 of 249,39%,36%,63 of 160,100 of 259,0 of 0,28%,0,92 of 249,0:10,1:05,Marlon Vera,Dominick Cruz
Jamahal Hill,L,UFC Fight Night: Tsarukyan vs. Gamrot,KO/TKO,"
        
        4",0,0,53 of 94,89 of 152,56%,58%,56 of 98,130 of 194,6 of 20,---,0,89 of 152,5:54,1:26,Thiago Santos,Jamahal Hill
Amanda Nunes,L,UFC Fight Night: Tsarukyan vs. Gamrot,Decision - Unanimous,"
        
        5",0,3,60 of 154,85 of 152,38%,55%,130 of 239,126 of 201,0 of 0,75%,1,85 of 152,0:00,11:49,Julianna Pena,Amanda Nunes
Tom Aspinall,L,UFC Fight Night: Tsarukyan vs. Gamrot,KO/TKO,"
        
        1",0,0,4 of 10,3 of 5,40%,60%,4 of 10,3 of 5,0 of 0,---,0,3 of 5,0:01,0:00,Curtis Blaydes,Tom Aspinall
Yair Rodriguez,L,UFC Fight Night: Tsarukyan vs. Gamrot,KO/TKO,"
        
        1",0,0,22 of 35,23 of 46,62%,50%,26 of 39,48 of 76,1 of 5,---,0,23 of 46,2:24,0:00,Brian Ortega,Yair Rodriguez
Rafael Fiziev,L,UFC Fight Night: Tsarukyan vs. Gamrot,KO/TKO,"
        
        5",0,1,54 of 110,64 of 159,49%,40%,90 of 162,92 of 192,2 of 16,0%,0,64 of 159,6:13,2:59,Rafael Dos Anjos,Rafael Fiziev
Jared Cannonier,L,UFC Fight Night: Tsarukyan vs. Gamrot,Decision - Unanimous,"
        
        5",0,0,116 of 230,90 of 157,50%,57%,163 of 277,141 of 217,0 of 0,0%,0,90 of 157,0:00,4:14,Israel Adesanya,Jared Cannonier
Mateusz Gamrot,L,UFC Fight Night: Tsarukyan vs. Gamrot,Decision - Unanimous,"
        
        5",1,0,95 of 247,81 of 138,38%,58%,110 of 264,108 of 166,1 of 8,28%,0,81 of 138,1:39,4:58,Arman Tsarukyan,Mateusz Gamrot
Song Yadong,L,UFC Fight Night: Kattar vs. Emmett,TKO - Doctor's Stoppage,"
        
        4",0,0,94 of 222,54 of 145,42%,37%,130 of 259,130 of 224,1 of 14,100%,0,54 of 145,3:47,1:39,Cory Sandhagen,Song Yadong
Tony Ferguson,L,UFC Fight Night: Kattar vs. Emmett,Submission,"
        
        4",0,0,101 of 217,80 of 172,46%,46%,101 of 217,80 of 172,0 of 0,33%,1,80 of 172,0:00,0:08,Nate Diaz,Tony Ferguson
Tai Tuivasa,L,UFC Fight Night: Kattar vs. Emmett,KO/TKO,"
        
        3",1,1,110 of 168,29 of 89,65%,32%,110 of 168,29 of 89,0 of 1,---,0,29 of 89,0:01,0:04,Ciryl Gane,Tai Tuivasa
Leon Edwards,L,UFC Fight Night: Kattar vs. Emmett,KO/TKO,"
        
        5",0,1,83 of 135,55 of 75,61%,73%,189 of 247,64 of 85,5 of 12,20%,0,55 of 75,10:36,2:55,Kamaru Usman,Leon Edwards
Dominick Cruz,L,UFC Fight Night: Kattar vs. Emmett,KO/TKO,"
        
        4",3,0,61 of 156,92 of 249,39%,36%,63 of 160,100 of 259,0 of 0,28%,0,92 of 249,0:10,1:05,Marlon Vera,Dominick Cruz
Jamahal Hill,L,UFC Fight Night: Kattar vs. Emmett,KO/TKO,"
        
        4",0,0,53 of 94,89 of 152,56%,58%,56 of 98,130 of 194,6 of 20,---,0,89 of 152,5:54,1:26,Thiago Santos,Jamahal Hill
Amanda Nunes,L,UFC Fight Night: Kattar vs. Emmett,Decision - Unanimous,"
        
        5",0,3,60 of 154,85 of 152,38%,55%,130 of 239,126 of 201,0 of 0,75%,1,85 of 152,0:00,11:49,Julianna Pena,Amanda Nunes
Tom Aspinall,L,UFC Fight Night: Kattar vs. Emmett,KO/TKO,"
        
        1",0,0,4 of 10,3 of 5,40%,60%,4 of 10,3 of 5,0 of 0,---,0,3 of 5,0:01,0:00,Curtis Blaydes,Tom Aspinall
Yair Rodriguez,L,UFC Fight Night: Kattar vs. Emmett,KO/TKO,"
        
        1",0,0,22 of 35,23 of 46,62%,50%,26 of 39,48 of 76,1 of 5,---,0,23 of 46,2:24,0:00,Brian Ortega,Yair Rodriguez
Rafael Fiziev,L,UFC Fight Night: Kattar vs. Emmett,KO/TKO,"
        
        5",0,1,54 of 110,64 of 159,49%,40%,90 of 162,92 of 192,2 of 16,0%,0,64 of 159,6:13,2:59,Rafael Dos Anjos,Rafael Fiziev
Jared Cannonier,L,UFC Fight Night: Kattar vs. Emmett,Decision - Unanimous,"
        
        5",0,0,116 of 230,90 of 157,50%,57%,163 of 277,141 of 217,0 of 0,0%,0,90 of 157,0:00,4:14,Israel Adesanya,Jared Cannonier
Mateusz Gamrot,L,UFC Fight Night: Kattar vs. Emmett,Decision - Unanimous,"
        
        5",1,0,95 of 247,81 of 138,38%,58%,110 of 264,108 of 166,1 of 8,28%,0,81 of 138,1:39,4:58,Arman Tsarukyan,Mateusz Gamrot
Josh Emmett,L,UFC Fight Night: Kattar vs. Emmett,Decision - Split,"
        
        5",0,0,130 of 375,107 of 332,34%,32%,131 of 376,107 of 332,0 of 0,0%,0,107 of 332,0:00,0:04,Calvin Kattar,Josh Emmett
Song Yadong,L,UFC 275: Teixeira vs. Prochazka,TKO - Doctor's Stoppage,"
        
        4",0,0,94 of 222,54 of 145,42%,37%,130 of 259,130 of 224,1 of 14,100%,0,54 of 145,3:47,1:39,Cory Sandhagen,Song Yadong
Tony Ferguson,L,UFC 275: Teixeira vs. Prochazka,Submission,"
        
        4",0,0,101 of 217,80 of 172,46%,46%,101 of 217,80 of 172,0 of 0,33%,1,80 of 172,0:00,0:08,Nate Diaz,Tony Ferguson
Tai Tuivasa,L,UFC 275: Teixeira vs. Prochazka,KO/TKO,"
        
        3",1,1,110 of 168,29 of 89,65%,32%,110 of 168,29 of 89,0 of 1,---,0,29 of 89,0:01,0:04,Ciryl Gane,Tai Tuivasa
Leon Edwards,L,UFC 275: Teixeira vs. Prochazka,KO/TKO,"
        
        5",0,1,83 of 135,55 of 75,61%,73%,189 of 247,64 of 85,5 of 12,20%,0,55 of 75,10:36,2:55,Kamaru Usman,Leon Edwards
Dominick Cruz,L,UFC 275: Teixeira vs. Prochazka,KO/TKO,"
        
        4",3,0,61 of 156,92 of 249,39%,36%,63 of 160,100 of 259,0 of 0,28%,0,92 of 249,0:10,1:05,Marlon Vera,Dominick Cruz
Jamahal Hill,L,UFC 275: Teixeira vs. Prochazka,KO/TKO,"
        
        4",0,0,53 of 94,89 of 152,56%,58%,56 of 98,130 of 194,6 of 20,---,0,89 of 152,5:54,1:26,Thiago Santos,Jamahal Hill
Amanda Nunes,L,UFC 275: Teixeira vs. Prochazka,Decision - Unanimous,"
        
        5",0,3,60 of 154,85 of 152,38%,55%,130 of 239,126 of 201,0 of 0,75%,1,85 of 152,0:00,11:49,Julianna Pena,Amanda Nunes
Tom Aspinall,L,UFC 275: Teixeira vs. Prochazka,KO/TKO,"
        
        1",0,0,4 of 10,3 of 5,40%,60%,4 of 10,3 of 5,0 of 0,---,0,3 of 5,0:01,0:00,Curtis Blaydes,Tom Aspinall
Yair Rodriguez,L,UFC 275: Teixeira vs. Prochazka,KO/TKO,"
        
        1",0,0,22 of 35,23 of 46,62%,50%,26 of 39,48 of 76,1 of 5,---,0,23 of 46,2:24,0:00,Brian Ortega,Yair Rodriguez
Rafael Fiziev,L,UFC 275: Teixeira vs. Prochazka,KO/TKO,"
        
        5",0,1,54 of 110,64 of 159,49%,40%,90 of 162,92 of 192,2 of 16,0%,0,64 of 159,6:13,2:59,Rafael Dos Anjos,Rafael Fiziev
Jared Cannonier,L,UFC 275: Teixeira vs. Prochazka,Decision - Unanimous,"
        
        5",0,0,116 of 230,90 of 157,50%,57%,163 of 277,141 of 217,0 of 0,0%,0,90 of 157,0:00,4:14,Israel Adesanya,Jared Cannonier
Mateusz Gamrot,L,UFC 275: Teixeira vs. Prochazka,Decision - Unanimous,"
        
        5",1,0,95 of 247,81 of 138,38%,58%,110 of 264,108 of 166,1 of 8,28%,0,81 of 138,1:39,4:58,Arman Tsarukyan,Mateusz Gamrot
Josh Emmett,L,UFC 275: Teixeira vs. Prochazka,Decision - Split,"
        
        5",0,0,130 of 375,107 of 332,34%,32%,131 of 376,107 of 332,0 of 0,0%,0,107 of 332,0:00,0:04,Calvin Kattar,Josh Emmett
Jiri Prochazka,L,UFC 275: Teixeira vs. Prochazka,Submission,"
        
        5",0,0,111 of 161,120 of 205,68%,58%,159 of 212,157 of 245,5 of 17,---,1,120 of 205,9:47,4:29,Glover Teixeira,Jiri Prochazka
Song Yadong,L,UFC Fight Night: Volkov vs. Rozenstruik,TKO - Doctor's Stoppage,"
        
        4",0,0,94 of 222,54 of 145,42%,37%,130 of 259,130 of 224,1 of 14,100%,0,54 of 145,3:47,1:39,Cory Sandhagen,Song Yadong
Tony Ferguson,L,UFC Fight Night: Volkov vs. Rozenstruik,Submission,"
        
        4",0,0,101 of 217,80 of 172,46%,46%,101 of 217,80 of 172,0 of 0,33%,1,80 of 172,0:00,0:08,Nate Diaz,Tony Ferguson
Tai Tuivasa,L,UFC Fight Night: Volkov vs. Rozenstruik,KO/TKO,"
        
        3",1,1,110 of 168,29 of 89,65%,32%,110 of 168,29 of 89,0 of 1,---,0,29 of 89,0:01,0:04,Ciryl Gane,Tai Tuivasa
Leon Edwards,L,UFC Fight Night: Volkov vs. Rozenstruik,KO/TKO,"
        
        5",0,1,83 of 135,55 of 75,61%,73%,189 of 247,64 of 85,5 of 12,20%,0,55 of 75,10:36,2:55,Kamaru Usman,Leon Edwards
Dominick Cruz,L,UFC Fight Night: Volkov vs. Rozenstruik,KO/TKO,"
        
        4",3,0,61 of 156,92 of 249,39%,36%,63 of 160,100 of 259,0 of 0,28%,0,92 of 249,0:10,1:05,Marlon Vera,Dominick Cruz
Jamahal Hill,L,UFC Fight Night: Volkov vs. Rozenstruik,KO/TKO,"
        
        4",0,0,53 of 94,89 of 152,56%,58%,56 of 98,130 of 194,6 of 20,---,0,89 of 152,5:54,1:26,Thiago Santos,Jamahal Hill
